cell_key,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,slope_lin_fit_2_100,intercept_lin_fit_2_100,discharge_capacity_2,diff_discharge_capacity_max_2,minimun_IR,diff_IR_100_2,integral_tem_2_100,mean_charge_time_2_6,minimum_dQ_5_4,variance_dQ_5_4,cycle_550_clf,cycle_life
b1c0,-4.720901416,-11.63156963,-0.31923796,-0.094314049,-0.000206807,1.091143732,1.0706892,0.4683652,0.016443744,-9.24E-05,188366.0232,13.374894,-10.13454487,-14.09657494,1,1852
b1c1,-4.709131623,-11.82556162,-1.148990796,0.037822521,5.54E-06,1.08096458,1.0753012,0.0092883,0,-3.39E-05,181854.6049,13.40915,-7.553861318,-13.57182411,1,2160
b1c2,-4.57522295,-11.40213136,-0.82671684,0.16019437,1.03E-05,1.08484612,1.0799223,0.0081312,0,-9.44E-06,182681.2837,13.35824233,-6.613649592,-13.34195905,1,2237
b1c3,-3.922042315,-10.09993884,-0.741645592,0.117088883,1.71E-05,1.084075016,1.0797229,0.0065301,0,4.42E-05,170926.9226,12.02513967,-5.754550405,-13.2367201,1,1434
b1c4,-4.230762205,-10.60289605,-1.052154236,0.308339953,1.90E-05,1.081874821,1.0784167,0.0058999,0,-3.62E-05,178664.7971,12.04185067,-6.37600195,-14.21254918,1,1709
b1c5,-3.646456015,-9.569157052,-1.956895507,0.175937333,1.12E-05,1.079754795,1.0761266,0.0059438,0.015922785,-0.000124425,172762.8906,10.96784967,-6.869041643,-15.91752418,1,1074
b1c6,-3.256383072,-8.683699788,-0.932786828,0.1906367,-4.81E-06,1.081157026,1.0758358,0.0063032,0,-0.000334108,176722.1163,10.076479,-6.686293053,-14.25523729,1,636
b1c7,-3.290064642,-8.800098887,-1.17538358,0.106526149,-6.43E-06,1.09725427,1.0938644,0.0041042,0,-3.73E-05,175364.0859,10.02508167,-6.778233015,-15.33915589,1,870
b1c9,-3.518567797,-9.161168129,-0.77747535,0.186400304,1.82E-05,1.086771425,1.0829742,0.0059757,0.016611163,-2.50E-05,169470.7701,11.207956,-12.16919564,-12.89086379,1,1054
b1c11,-3.681597182,-9.438460972,-0.501675776,0.168603746,2.18E-05,1.058971606,1.0537786,0.0094604,0,-0.000304448,184880.0182,11.668876,-8.32591412,-15.04983241,1,788
b1c14,-3.564755569,-9.322565806,-1.333795714,0.26100428,2.62E-05,1.074764977,1.0709661,0.0068777,0.016649306,-7.51E-05,185058.5822,10.764334,-8.487881405,-15.17675501,1,880
b1c15,-3.54627029,-9.26829089,-0.762566594,0.20547834,2.90E-05,1.066175368,1.0611236,0.0082151,0.016542939,-0.000246553,185381.9269,10.79770567,-11.19853324,-15.12418375,1,719
b1c16,-3.590715146,-9.444263006,-2.498030488,0.213237674,2.32E-05,1.085288383,1.0811664,0.0074255,0,-2.62E-05,177251.0398,10.11310767,-8.2749385,-15.58249857,1,862
b1c17,-3.498826071,-9.203934827,-1.204921191,0.250492198,1.79E-05,1.076194039,1.072052,0.0071738,0.016238289,1.49E-05,163149.179,10.14688067,-11.02878328,-14.56177269,1,857
b1c18,-3.138602914,-8.436675781,-2.727604573,0.324339979,-0.000294542,1.101465004,1.0661705,1.817914,0.015845969,-0.003991769,5089077.624,9.958173667,-8.911639944,-12.81124411,1,691
b1c19,-3.108572363,-8.368446499,-1.241121892,0.273697124,-1.04E-05,1.08889662,1.0851147,0.0041907,0.016205151,-7.29E-05,167260.298,9.924738333,-9.733158713,-13.05815979,1,788
b1c20,-2.772005249,-7.744761378,-1.363441641,0.086077623,-0.000139776,1.076969671,1.07263,0.0030942,0,-0.000573213,172442.538,9.021115,-9.01103527,-15.63120666,0,534
b1c21,-2.742040157,-7.695923753,-2.343454582,0.13878868,-8.18E-05,1.086397504,1.0824388,0.0034874,0,-0.000222164,177649.1987,8.964706333,-10.7789028,-15.78630379,1,559
b1c23,-3.510138098,-9.278648944,-2.09278282,0.219022678,-6.95E-06,1.082815554,1.0792934,0.004493,0.016472535,-1.41E-05,166814.8807,11.44700633,-7.537510636,-16.28247761,1,1014
b1c24,-3.426283006,-9.037834562,-1.125165306,0.244680046,2.02E-06,1.07792995,1.0745355,0.0045395,0.016390581,8.27E-06,175680.8989,12.147216,-11.36545854,-13.90801709,1,1017
b1c25,-3.489898041,-9.203959249,-1.059890843,0.22397085,5.13E-07,1.078821728,1.0752345,0.0046786,0.016397864,-1.26E-05,178503.7638,12.13012667,-11.00620169,-13.9949457,1,854
b1c26,-3.239462152,-8.69457598,-2.09202793,0.241644051,-1.52E-05,1.091350021,1.0876514,0.0038948,0.016129743,7.93E-06,170695.666,10.76481967,-5.847790904,-15.3633341,1,870
b1c27,-3.304791021,-8.827900365,-1.212516544,0.207149638,-1.08E-05,1.082584738,1.0790461,0.0039534,0.015953196,1.85E-05,174454.2885,10.79698533,-6.087817502,-15.79553483,1,842
b1c28,-3.272874448,-8.817230738,-1.96471321,0.225621552,-7.73E-06,1.08108969,1.0777475,0.003847,0.016467512,5.83E-05,174938.6746,11.12990733,-6.148953353,-16.60297637,1,860
b1c29,-3.286476817,-8.806543977,-1.957416093,0.250623823,-5.21E-06,1.08304867,1.0794537,0.0043492,0.016308507,2.30E-05,169115.7842,11.17953533,-6.835035468,-16.48232764,1,917
b1c30,-3.200726739,-8.63080712,-1.31302768,0.211199741,-1.64E-05,1.083658496,1.0798637,0.0039545,0.015838005,5.55E-05,170501.8599,10.13017967,-5.922820303,-15.24455146,1,709
b1c31,-3.215816882,-8.68008713,-2.29965928,0.216244023,-2.62E-05,1.09840466,1.0946392,0.0036942,0.016684072,5.76E-06,154299.154,10.11367267,-6.532675894,-16.01019835,1,876
b1c32,-3.081119392,-8.398733978,-1.970466651,0.247653832,-1.28E-05,1.081323039,1.0778366,0.0038201,0.015933495,4.19E-05,168206.8693,10.096438,-6.617384961,-16.55607001,1,731
b1c33,-3.106199841,-8.446465169,-2.52967487,0.21165509,-2.18E-05,1.096604067,1.0924908,0.0043354,0.016214989,-1.54E-05,171036.721,10.14642867,-6.818639225,-16.75468286,1,757
b1c34,-3.281433621,-8.849073603,-2.041400419,0.180046739,-3.13E-07,1.08008595,1.0766174,0.004865,0.016567618,-3.33E-05,168308.8324,11.067937,-8.174903536,-16.70998579,1,742
b1c35,-3.220982387,-8.656152944,-2.434055807,0.260537789,3.20E-06,1.074344712,1.0707464,0.0050792,0.016647711,3.92E-05,166153.3004,11.051195,-7.49335279,-17.60382191,1,703
b1c36,-3.103037685,-8.418616725,-4.156930612,0.264024793,-7.18E-06,1.081642895,1.0778315,0.0045278,0.016229769,9.61E-05,167691.6558,11.52484333,-8.019163768,-16.83062225,1,704
b1c37,-3.107188614,-8.427469758,-1.511630209,0.253630346,-9.68E-06,1.078523771,1.0748194,0.0044724,0.016318144,7.28E-05,172189.9387,11.574392,-7.820918397,-16.49079605,1,648
b1c38,-2.852312486,-7.903792218,-3.008371184,0.293398372,-9.44E-06,1.076282799,1.0729513,0.0036465,0.016066672,7.87E-05,171608.216,10.24306667,-5.513623012,-14.48674979,1,617
b1c39,-2.919266365,-8.076285489,-1.947427485,0.239103005,-3.29E-06,1.085827017,1.0817773,0.0046894,0.016519627,9.60E-05,170576.0298,10.258443,-4.898765901,-13.85772961,1,625
b1c40,-3.560626296,-9.419166589,-1.563119923,0.194976087,-8.20E-06,1.087348426,1.0833029,0.0045033,0.016480761,4.46E-05,176305.9314,12.07122267,-7.284181203,-14.37754197,1,966
b1c41,-2.369248767,-9.356978438,-0.189736166,1.474968741,-1.39E-07,1.082893853,1.0789614,0.0049075,0.016552322,-2.89E-05,174131.1779,12.087368,-8.180611193,-14.64669616,1,1051
b1c42,-3.105457169,-8.451180747,-7.669214011,0.230886018,2.11E-06,1.08378139,1.0798725,0.0049595,0.016511114,9.42E-05,174042.0134,11.17109367,-5.889749517,-14.81988977,1,702
b1c43,-3.090937299,-8.439060019,-1.496036884,0.274307489,-2.40E-05,1.07174695,1.0682389,0.0034321,0.015904058,0.00012896,172869.5714,11.17087433,-5.840788894,-14.79605483,1,651
b1c44,-2.839884005,-7.880195557,-1.910672407,0.247062011,-3.36E-05,1.08855646,1.0847682,0.0035624,0.017142953,0.000154793,165872.401,10.27110433,-5.808798845,-15.54671972,1,616
b1c45,-2.83706639,-7.88220217,-2.075075,0.247231196,-1.29E-05,1.087818373,1.0839558,0.0044825,0.016382927,0.000156697,167433.3928,10.25446533,-5.26179063,-15.34939447,1,599
b2c0,-2.09184222,-6.388378568,-0.514294923,-0.131034233,-0.000354731,1.07883863,1.0700541,0.0035296,0.016423751,-0.000251662,180135.0477,10.24416467,-9.96388528,-9.401949962,0,300
b2c1,-1.984958102,-6.296652746,-0.205989223,-0.433836202,-0.001092105,1.084408327,1.0720705,0.0015459,0.016267318,-0.000766616,186347.6335,10.32765733,-6.740258091,-10.15339263,0,148
b2c2,-3.153534056,-8.553906606,-4.734012017,0.270405947,-1.28E-05,1.078679621,1.0735391,0.0064283,0.017209327,-0.000381606,195977.7598,10.075615,-9.355540298,-10.51827628,0,438
b2c3,-2.268495477,-6.692286119,-0.987023742,0.043868424,-0.000227374,1.072520538,1.0668509,0.0020589,0.015852956,-0.000546578,199458.0935,10.135263,-4.538730591,-12.28561014,0,335
b2c4,-2.833637847,-7.938423076,-1.091307637,0.035745379,-0.00010675,1.077330645,1.0728973,0.0027499,0.015997788,-0.000826537,196590.4223,10.124655,-5.557569232,-13.86056628,0,444
b2c5,-2.972376058,-8.267177731,-2.247084255,0.261030466,-1.14E-06,1.072032036,1.0680153,0.0050053,0.016727364,-0.000282336,191971.2026,10.16286633,-4.967227694,-12.86426631,0,480
b2c6,-2.668813727,-7.550993814,-0.701174246,-0.01748042,-0.000214386,1.075658243,1.0687391,0.0037921,0.015648872,-0.00099048,193024.7083,10.19462267,-8.773204462,-12.84638531,0,511
b2c10,-3.057030346,-8.315074449,-1.673294012,0.191917926,-6.00E-05,1.074592569,1.0690521,0.0048897,0.017548179,-0.000578871,198533.3391,10.114951,-5.684067833,-15.20249904,1,561
b2c11,-3.027487377,-8.299345436,-1.366497318,0.140303128,-4.15E-05,1.076324939,1.0717047,0.0042239,0.017036082,-0.00051637,197811.3462,10.107076,-5.872235399,-15.08790406,0,477
b2c12,-2.733640558,-7.735008743,-0.901629085,0.002181585,-0.000148013,1.076501974,1.0712759,0.0029707,0.016133603,-0.000880009,198883.1919,10.17263867,-5.688894333,-14.09946255,0,458
b2c13,-2.623480543,-7.467945732,-2.669772118,0.168845232,-0.000121204,1.085154313,1.080285,0.0029318,0.016480118,-0.000516604,198835.3165,10.23092367,-5.523999453,-14.96305012,0,483
b2c14,-2.909116193,-8.038025032,-2.081070728,0.22218833,-3.97E-06,1.082271562,1.0780684,0.0048147,0.016895344,-0.000178603,197056.2531,10.114209,-6.001855976,-15.07420722,0,485
b2c17,-2.929124058,-7.965317437,-1.999655704,0.033913288,2.06E-05,1.073533826,1.0656468,0.0110646,0.016974878,-0.000657956,188594.2221,10.161191,-8.672409346,-9.971738092,0,494
b2c18,-3.181479213,-8.614122075,-1.198061099,0.073177856,-8.16E-05,1.06828311,1.063838,0.0037714,0.016697574,-0.000429059,196589.5876,10.18597433,-9.153732773,-11.18916174,0,487
b2c19,-2.802248805,-7.728837752,-3.284542386,0.231957979,-0.000178508,1.051277032,1.0480373,0.0016425,0.01643493,-0.001240922,193820.7441,10.333377,-6.222365018,-10.902886,0,461
b2c20,-2.781724726,-8.253890436,-1.190419792,-0.288984625,-6.30E-06,1.088277042,1.0831043,0.0063896,0.017116761,-0.000127341,195097.4254,10.147933,-4.370373804,-12.27539814,0,502
b2c21,-2.753746493,-7.72250045,-2.460151383,0.2229753,-4.40E-05,1.082136947,1.0768799,0.005137,0.017165525,-0.000312573,193383.8096,10.121576,-4.260406519,-11.24859148,0,489
b2c22,-2.907895742,-8.213576881,-2.363350195,0.243328417,-8.08E-06,1.084615931,1.079723,0.0056468,0.016888004,-0.000258345,191486.4556,10.14747167,-6.079329826,-15.66951272,0,513
b2c23,-2.836965419,-7.959088529,-2.357511938,0.201153312,-6.66E-05,1.078901174,1.0745209,0.00356,0.01690297,-0.000775867,192442.0632,10.250747,-8.794079341,-12.25901778,0,527
b2c24,-2.688043415,-8.712140623,0.159928482,0.919785276,2.77E-06,1.071938919,1.0679682,0.0054579,0.016777694,-8.01E-05,180390.2017,10.058893,-4.881716704,-12.48837969,0,495
b2c25,-2.949178805,-8.283324535,-2.551676387,0.247993356,-3.03E-05,1.072093634,1.0672674,0.0048971,0.016953357,-0.000492152,178758.2005,10.04198667,-8.799689587,-12.18920537,0,461
b2c26,-2.950281613,-8.189207823,-2.432034576,0.10939531,-3.70E-05,1.082561314,1.0766411,0.0058852,0.017301282,-0.000545116,189603.006,10.00823233,-8.361800857,-11.45121468,0,471
b2c27,-3.227341571,-8.709566396,-2.632637272,0.207682646,4.95E-07,1.070597696,1.065841,0.005946,0.017141469,-0.000243507,191774.8522,10.14740933,-10.61556948,-11.06567324,0,468
b2c28,-3.268277645,-8.749596022,-2.219637555,0.163001414,6.73E-06,1.076352866,1.07155,0.0063132,0.01686197,-0.000273435,196720.7614,10.13968633,-9.544949215,-11.07703304,0,509
b2c29,-3.112527952,-8.3853279,-0.989610187,0.230782434,3.28E-05,1.076574752,1.0725043,0.0068375,0.016837668,-3.97E-05,200543.8546,10.114581,-10.97898833,-12.18293289,0,498
b2c30,-3.18369688,-8.605203936,-2.417292527,0.254433293,8.46E-06,1.071719845,1.0672802,0.0058776,0.017394017,-0.000298147,194251.3757,10.09733367,-9.456990826,-12.95429038,0,481
b2c31,-3.19252283,-8.62206318,-3.545240798,0.21105513,1.27E-05,1.07857364,1.0732793,0.0068458,0.017417014,-5.89E-05,188860.7877,10.14688433,-9.991418101,-12.34929375,0,492
b2c32,-3.144387624,-8.48544314,-1.739898423,0.221935364,1.78E-05,1.078764532,1.0742669,0.0066598,0.017273866,-0.000124845,197688.8465,10.13043933,-10.90125379,-11.15900724,0,519
b2c33,-3.071139156,-8.317054896,-1.826932066,0.276264683,2.07E-05,1.08352129,1.079052,0.006544,0.017406421,8.87E-06,197642.7527,10.12924833,-11.06351033,-11.90651729,0,520
b2c34,-3.203988561,-8.654107771,-1.19920557,0.123437765,2.09E-05,1.073610613,1.0688509,0.0068526,0.017337065,-3.59E-05,198109.6465,10.164115,-9.674062532,-15.43586723,0,499
b2c35,-2.900506584,-8.012971753,-1.411599705,0.223681297,-2.80E-07,1.073355198,1.0687217,0.0057665,0.016969517,-0.000413862,201493.9201,10.13029333,-5.32759409,-13.27427218,0,463
b2c36,-2.970555359,-8.075353872,-0.996534021,0.251014078,2.41E-05,1.083945036,1.079731,0.0063388,0.020022187,6.62E-05,200243.5098,10.14772167,-4.942846532,-13.18972262,0,535
b2c37,-2.993813351,-8.085939786,-2.0309751,0.352813999,3.51E-05,1.07889607,1.0748166,0.0068574,0.01798249,0.000151841,191549.2232,10.11468833,-7.193160997,-16.50859549,0,478
b2c38,-3.009228157,-8.219966305,-2.631478934,0.2696817,1.65E-05,1.074105116,1.0699497,0.0057986,0.017577264,-4.13E-06,192449.4619,10.14849333,-8.202986084,-14.20130668,0,465
b2c39,-2.889262602,-7.948993343,-5.117145263,0.296854746,3.19E-05,1.084284399,1.0784613,0.0084206,0.017882114,2.36E-06,192366.1978,10.14447933,-9.963911759,-12.94906766,0,459
b2c40,-2.966849237,-8.134919971,-2.733681201,0.207714303,-1.99E-05,1.082268664,1.0765519,0.0065683,0.016943704,-0.000548757,199842.0587,10.13158333,-9.674490395,-10.84236571,0,499
b2c41,-3.10309382,-8.484278253,-1.505742546,0.122695368,1.66E-05,1.073882672,1.0682049,0.0079039,0.017491397,-0.000199251,196100.7343,10.12803633,-9.081650109,-11.70089291,0,429
b2c42,-2.775922232,-8.131572306,-2.799685591,0.217361924,1.18E-05,1.082518045,1.0780239,0.0060867,0.016997622,3.76E-05,198941.6545,10.13045433,-8.859368281,-12.23146825,0,466
b2c43,-2.720068734,-7.65015089,-2.728123236,0.260810058,1.25E-05,1.078976253,1.0735646,0.0070754,0.017879792,-2.09E-05,197868.2176,10.12917433,-4.885635927,-13.38521332,0,462
b2c44,-2.862830301,-7.962522116,-4.905591695,0.227158258,2.23E-05,1.075213642,1.070887,0.0063656,0.017408777,0.000223475,197727.4558,10.14690533,-4.42782716,-12.24793475,0,457
b2c45,-3.007303829,-8.233458936,-2.076040758,0.256923235,-7.06E-06,1.074867974,1.0704726,0.0051856,0.01683791,-0.00012718,195037.5556,10.097114,-4.301290919,-11.95000499,0,487
b2c46,-2.755650004,-7.722302639,-2.924818618,0.231592883,2.94E-05,1.077631966,1.0726138,0.0073842,0.017551575,0.000201765,193320.4744,10.14691733,-4.934266404,-12.91572644,0,429
b2c47,-3.556632494,-9.373764321,-1.171875701,0.146448514,-9.55E-06,1.049389155,1.0421375,0.0081127,0.017025596,-0.000819389,188842.7889,10.112717,-5.283596663,-13.83655486,1,713
b3c0,-3.746697339,-9.746088977,-1.67796595,0.170877826,-5.35E-06,1.070659091,1.0674551,0.0039161,0.015180224,-0.00012552,147414.3143,10.044531,-10.62390967,-16.0536442,1,1009
b3c1,-3.770055295,-9.782774178,-1.334612627,0.136728973,-1.47E-05,1.068472358,1.0650603,0.0036796,0.014931546,-0.000107789,156506.9745,10.04113867,-8.451272024,-15.64513134,1,1063
b3c3,-3.606254621,-9.485616617,-0.765797671,0.018071585,-1.27E-05,1.065298418,1.0628892,0.002645,0.014885032,4.22E-05,160124.9133,10.04206533,-5.33045564,-13.58096082,1,1115
b3c4,-3.70810427,-9.65033426,-0.918144029,0.111116665,-5.23E-06,1.074804658,1.0724765,0.0027885,0.015085269,-6.55E-05,149564.2055,10.04503133,-8.559020979,-16.10765888,1,1048
b3c5,-3.638099712,-9.432684463,-1.873386052,0.250942828,-1.60E-05,1.053974207,1.0514506,0.0026052,0.015130546,-0.00015765,159609.8345,10.04191,-8.56507869,-15.62946556,1,828
b3c6,-2.920146839,-8.096790046,-0.747359495,-0.134090152,-0.000202398,1.064081999,1.0626124,0.0004592,0.013527169,0.000325,151176.7721,10.06247167,-7.840245867,-15.08192899,1,667
b3c7,-4.066421991,-10.33267057,-1.150250885,0.158296338,-2.36E-06,1.070297655,1.0675218,0.0033972,0.015372629,-4.46E-05,158297.1098,11.04157733,-9.194142714,-14.62796067,1,1836
b3c8,-3.615842283,-9.462797308,-1.623170895,0.217468986,-3.31E-06,1.068174847,1.0647362,0.0039782,0.01520093,-0.000171391,155725.4068,10.04495,-8.999237065,-14.89161916,1,828
b3c9,-3.524750211,-9.196427255,-3.417983398,0.27323492,6.68E-07,1.072825256,1.0694826,0.0038881,0.015742281,-2.71E-05,157555.9553,10.04174933,-9.445824584,-14.57318954,1,1039
b3c10,-3.95644633,-10.15422666,-1.478555458,0.164887106,-2.88E-06,1.064525264,1.0617746,0.0032262,0.015318613,-0.000131565,154198.845,11.04500333,-8.514487015,-14.2776804,1,1078
b3c11,-3.388775045,-8.972545221,-2.071799594,0.225442349,-1.77E-05,1.070729462,1.0680679,0.0026928,0.015485173,-4.95E-05,162388.691,10.04221833,-11.80167815,-14.3623771,1,817
b3c12,-3.442254776,-9.071859087,-5.037440063,0.243642491,-6.68E-06,1.076676032,1.0741653,0.0027777,0.01599754,-2.37E-05,157863.2865,10.04249167,-8.724074141,-14.86888211,1,932
b3c13,-3.584358668,-9.41762839,-1.439152905,0.166119631,-1.22E-05,1.069335077,1.065558,0.0040867,0.01506449,-0.000150304,161353.9669,10.04231967,-11.28375929,-15.08763104,1,816
b3c14,-3.530464691,-9.245718062,-1.693349813,0.254449439,4.64E-06,1.076779365,1.0727056,0.0050386,0.015496999,-6.90E-05,159502.0996,10.041712,-10.36980148,-15.45125405,1,858
b3c15,-3.505568449,-9.190990056,-2.046644893,0.250812438,-1.16E-05,1.071136518,1.0684187,0.0028587,0.01525728,-8.01E-05,158752.091,10.04153367,-9.599661592,-16.39569082,1,876
b3c16,-4.279455698,-10.78751517,-2.117038731,-0.016650202,-9.69E-06,1.064003112,1.061009,0.0033309,0.015253145,-0.000119526,157360.3765,11.04336633,-8.842653641,-17.2618615,1,1638
b3c17,-3.995719318,-10.21142043,-3.31997659,-0.083642751,-5.83E-06,1.067345296,1.0664514,0.0025996,0.01535425,-0.000148642,198261.3493,10.04197433,-8.058442553,-17.36788793,1,1315
b3c18,-3.745685336,-9.75407467,-1.543651787,0.063067319,-2.93E-05,1.070361931,1.0680237,0.0021301,0.014978203,-4.94E-05,158946.8113,10.04312967,-7.8269039,-17.75791888,1,1146
b3c19,-3.656142197,-9.560391932,-2.124784138,0.110625394,-2.97E-05,1.074235086,1.0719248,0.0019749,0.015178323,-4.18E-05,159210.0132,10.043437,-7.47186208,-17.92318981,1,1155
b3c20,-3.598892237,-9.432141385,-1.167911957,0.15919148,-7.15E-06,1.067814756,1.0650502,0.0030607,0.015206913,-8.44E-05,155313.376,10.04332967,-12.69285221,-14.2420975,1,813
b3c21,-3.121522812,-8.503499634,-0.683384879,-0.172338949,-0.000159492,1.070112267,1.0678563,0.0008404,0.01394002,0.000246723,152177.9181,10.067868,-7.305139021,-16.87270616,1,772
b3c22,-3.566775977,-9.315544836,-2.477689006,0.231141113,-1.60E-05,1.05897035,1.0562643,0.0028446,0.015614755,-0.000119529,152160.7544,10.04338433,-7.456823778,-17.43117642,1,1002
b3c24,-3.67262436,-9.502554449,-1.149260083,0.241387758,9.65E-06,1.049949028,1.0462732,0.0048557,0.01550305,-0.000152286,156727.837,10.04224033,-11.79237567,-16.43519426,1,825
b3c25,-3.616309181,-9.514009151,-1.122250481,0.105526722,6.95E-06,1.064468012,1.0611302,0.0043403,0.015591009,-3.82E-05,164830.0609,10.04159833,-9.389452364,-17.3896908,1,989
b3c26,-3.706721503,-9.692177946,-1.1678549,0.079231685,-4.29E-07,1.075134168,1.0720186,0.0037909,0.015538619,-5.01E-05,167659.1962,10.04181667,-11.19311075,-17.54542287,1,1028
b3c27,-3.602002248,-9.465497492,-1.100136366,0.130246122,-4.04E-06,1.063914867,1.0604171,0.0040355,0.014868693,-9.53E-05,162563.8056,10.04502233,-10.24337297,-16.94114245,1,850
b3c28,-2.8422071,-7.923983179,-1.260004061,-0.0090829,-0.000198022,1.054621147,1.0518668,0.0008317,0.013169404,0.000437789,161365.162,10.05914167,-7.45569082,-15.8817737,0,541
b3c29,-3.553074456,-9.325552694,-1.177266951,0.185433042,4.08E-06,1.070292311,1.0663688,0.004832,0.014745088,-0.000156999,149299.5857,10.04168767,-12.2926937,-17.4905304,1,858
b3c30,-3.651003247,-9.540688632,-1.117462755,0.125720801,-3.42E-06,1.071880175,1.0687393,0.0036005,0.015509814,-0.000108792,150875.6204,10.04367867,-9.14713721,-15.33895928,1,935
b3c31,-3.317319027,-8.803869927,-2.330745424,0.267860077,-9.00E-06,1.071258666,1.0681812,0.0034605,0.015812302,-2.09E-05,160558.6064,10.04647767,-8.202832451,-18.27364561,1,731
b3c33,-3.886202799,-10.06365427,-0.957515944,0.035803507,-1.26E-05,1.062801338,1.060272,0.0026444,0.015279103,-0.000137999,145034.4845,10.04330133,-7.439325604,-16.5113352,1,1284
b3c34,-3.826261541,-9.885920366,-1.792193098,0.144506197,-2.12E-05,1.06432507,1.061535,0.0027431,0.015220164,-7.06E-05,157136.6367,10.04418467,-7.367187301,-17.2472658,1,1158
b3c35,-3.749464117,-9.712850458,-1.217557449,0.132864283,-1.95E-05,1.065495417,1.0633804,0.0020494,0.015308049,-7.24E-05,157286.5346,10.04314867,-7.175876013,-16.96657457,1,1093
b3c36,-3.747246875,-9.755374559,-1.514591444,0.108553596,-2.20E-05,1.060483815,1.0575287,0.0030761,0.015083324,-7.49E-05,157561.0593,10.043801,-7.655151264,-16.44721486,1,923
b3c38,-3.878969013,-9.985485809,-2.865759883,0.174068642,-8.79E-06,1.072430919,1.0701473,0.0025093,0.015742945,-0.000111349,153950.3759,10.044471,-7.918927656,-17.6537993,1,1935
b3c39,-4.031906951,-10.23070358,-1.208466262,0.058159856,-6.58E-06,1.050918796,1.0474036,0.004107,0.015480768,-0.00016602,143731.3434,10.043833,-8.288753122,-16.15352956,1,1156
b3c40,-3.81162842,-9.923463282,-1.105336786,0.051613507,-7.69E-06,1.063391687,1.0593235,0.00451,0.015254971,-0.000226156,159692.0734,10.043563,-10.17151086,-14.40061171,1,796
b3c41,-3.704428758,-9.669359963,-1.1778187,0.092748978,9.73E-06,1.053877799,1.0505219,0.0043619,0.017006677,-0.000173386,151140.0555,10.04297433,-7.28119261,-15.74340872,1,786
b3c44,-3.648796204,-9.51677022,-1.531814474,0.207630679,4.69E-06,1.073078213,1.06972,0.0041849,0.01551657,-0.000107305,156525.3286,10.04343567,-14.11293754,-17.00149088,1,940
b3c45,-4.078264286,-10.37409912,-1.137083868,0.158926354,-1.26E-07,1.071472276,1.0695485,0.0025962,0.015557319,-8.13E-05,154235.717,11.03765,-9.678074454,-14.64460808,1,1801
